序號,避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度
1,五峰活動中心,新竹縣,,,121.073,24.386
3537,翠華村華崗活動中心,南投縣仁愛鄉,,,121.199899,24.180665
4507,陸軍裝甲第542旅,新竹縣竹北市,,,121.02716,24.863184
